operator_name, count, status
onnx::Transpose, 2, Supported
onnx::Conv, 94, Supported
onnx::Relu, 28, Supported
onnx::Slice, 72, Supported
onnx::Concat, 9, Supported
onnx::BatchNormalization, 9, Supported
onnx::Add, 10, Supported
onnx::GlobalAveragePool, 1, Supported
onnx::Reshape, 1, Supported
onnx::MatMul, 1, Supported
onnx::Softmax, 1, Supported
